Job Title,Description,Query,Job Location,Job Id,Company Name,Senority Level,function,Job Link,Emplyment Type,Apply Link
"Platform Engineer - Up to £75,000 - Fast growing FinTech!","Platform Engineer - Up to £75,000 - Fast growing FinTech! Title – Platform Engineer Client – Financial Technology scale-up Salary – Up to £90,000 + shares + benefits Location – Remote (London office optional) Tech - SQL, Python, Java, Docker, Terraform, Linux The client is a new and highly successful technology company who are taking the market by storm and growing fast! They need passionate and enthusiastic engineers who want to work on something new, make a difference and progress their careers.. The culture of this company is hard working but highly rewarding, you'll be building an awesome business! In this role as a Platform Engineer you will be working closely alongside top engineers from different teams to build, maintain and scale the infrastructure and offer insight into new designs and also taking the lead on projects. Benefits: Health care and other insurance packages. Huge learning opportunity in a collaborative teams. Super flexible remote working! Bonus + share scheme (valuations increasing rapidly). New technology and greenfield projects. Rapid career progression for passionate engineers. Top requirements; Proficient in a programming language, ideally Python or Java. Strong experience with SQL servers. Experience with AWS infrastructure. Experience of Ansible, Terraform etc. a bonus. (Full detailed spec available) If you are interested or have any questions whatsoever I would be happy to talk and share more information. Show more Show less",Platform Engineer,United Kingdom,2604918111,Hunter Bond,Mid-Senior level,"Engineering, Information Technology, and Finance",https://uk.linkedin.com/jobs/view/platform-engineer-up-to-%C2%A375-000-fast-growing-fintech%21-at-hunter-bond-2604918111?refId=ZY9bQ7yWmcQpPum7cXPbgA%3D%3D&trackingId=3H2jV%2B4PdKtCnruGeA5fdg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,Full-time,N/A
Junior Platform Engineer,"A great opportunity for a Graduate or Junior experienced Platform Engineer. Works to drive efficiency and engineering. Deliver projects that enables our client to meet business and engineering requirements. Works with the team to build skills in AWS, CI/CD and the Build process. Key Result Areas: - Pipeline Managing and Supporting of the pipeline to deliver platforms into multiple environments Build Support the build process to enable software delivery to our customers across multiple environments Cloud Ensure that platforms crated or migrated to the cloud are in line with our best practices and standards documents. Platforms Create and handover complete platforms to users, ensure strict adherence to users' requirements and relevant security measures. Essential: - Experience with the following: Awareness of AWS Basic usage of GIT Awareness of Container technologies Experience of Linux Desirable: - Experience working with infrastructure or AWS Worked in a PCI DSS compliant environment Experience with one or more of the following (Groovy, Shell, Terraform, Java, Puppet) Behaviour: - Methodical and well organised – able to plan own work and track progress against a plan. Show more Show less",Platform Engineer,United Kingdom,2600625013,hubbado,Associate,Information Technology and Finance,https://uk.linkedin.com/jobs/view/junior-platform-engineer-at-hubbado-2600625013?refId=ZY9bQ7yWmcQpPum7cXPbgA%3D%3D&trackingId=Y3ivPU4jSXjp3xWb2pyFag%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Full-time,N/A
Platform Engineer,"Agile Analog is a VC funded start-up (30+ people) who are revolutionising the way analog circuits are designed. Based in the stunning Milton Hall in Cambridge, we are growing quickly to become one of the world’s leading Analog IP companies. Using our innovative core technology, we are able to design analog circuits faster, to a higher quality, and on any silicon process. We are part of a dynamic market and we are disrupting methodologies that have been unchanged for generations. We are looking for a Platform Engineer who can help shape and improve on our current infrastructure to help the company grow. It’s an exciting time to join Agile Analog, and as part of the team you’ll be helping us disrupt methodologies that have been unchanged for generations. You will be in charge of architecting, building, and running a single, consistent, and stable platform for use by the entire organization which in turn enables us to create, manipulate and design circuits faster. If you have everything we are looking for then that's great, but we are also happy to invest in your training if you are missing a few of the things we need. What We Value Automation - we should never have make the same change over and over, it should be configured and automated Security – our code and designs are what makes us special and we need to keep them safe Team Players - you’ll be closely collaborating with the Software Team on solutions to support Analog Engineers design circuit. Good communicators - within team, externally to stakeholders, in person, and with documentation Enthusiasm to try new things and step up to challenges Who are we and what can we offer you? We are a company that creates software and infrastructure that is used by an in-house team of analog engineers that deliver analog IP to external customers. The opportunity to work with an empowered team who have the opportunity to improve process and infrastructure. This is truly an opportunity to be part of the solution. As part of a growing team, you have the opportunity to learn and grow with us, whilst delivering tangible value to our stakeholders. Requirements What will you do We are looking for a Platform Engineer to join our team and help us design the infrastructure that enables us to double the size of company year on year. We can already make the infrastructure, but we need the expertise and technical leadership to design a scalable and secure one. There is no requirement for any knowledge of electronics and electronic design. This is a platform not an electronics role. Our Goals We can proactively fix problems before everyone starts noticing them. We never want to manually apply the same change to every server. No one has to ask you to build a server, there’s a button for that. We spend more time improving than panicking. How We Do It Puppet Terraform Docker AWS Vault Zabbix CICD (gitlab) Linux (CentOS/RedHat) Macs (thin clients) python 3.6 git Benefits What do we offer in return As well as the opportunity to really contribute to getting things done we also offer a comprehensive salary and benefits package including A friendly, collaborative and inclusive working environment The option to work remotely with home set-up assistance Flexible work hours to fit around your personal commitments Professional development and professional society membership 25 days’ annual leave Company pension scheme (with a salary sacrifice option) Private health insurance (including optical and dental cover) Life Assurance Cycle-to-work scheme Employee Assistance Programme – free wellbeing and health services Fresh fruit, tea and coffee in our offices If the above role matches your experience, skills and motivations then we would love to hear from you. Please submit your cv along with your salary expectations and we will be in touch shortly. Show more Show less",Platform Engineer,United Kingdom,2612921042,Agile Analog,Entry level,Engineering and Information Technology,https://uk.linkedin.com/jobs/view/platform-engineer-at-agile-analog-2612921042?refId=ZY9bQ7yWmcQpPum7cXPbgA%3D%3D&trackingId=YDsqOmYMBQWx2K%2FenHlvaQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Full-time,N/A
Platform Engineer,"Platform Engineer London Based – e-Commerce £65,000 - £75,000 Platform Engineer needed for an exciting e-Commerce high end retailer based in London! You’ll be joining a well-established & passionate team of online retail and technically savvy developers, designers, project managers, operations and everything in-between! This is an incredible opportunity to join an awesome group with an excellent environment and team togetherness! You’ll be helping to pave the way for the very best online shopping experience for your customers, working closely with all departments, taking ownership, working to increase performance, implement new ideas, & use the latest tools to help bring your, and the teams ideas to life! This Platform Engineer role will see you developing automation & tools, collaborating with the cracking development team to improve reliability & scalability. You’ll be to troubleshooting issues for Cloud, Hardware & Software, supporting teams by helping to identify any issues. Essential for the role: Experience working with Kubernetes (or similar i.e Docker) AWS experience Microservices experience Excellent communication e-Commerce / Online retail experience is a big plus! This opportunity is a great chance to join an excellent group of people with environment and culture at its core. The company encourage team building, progression, training & entertaining the office dog! So, if you’re looking for a new Platform Engineer role, fancy getting involved in the hottest industry right now, and want to work in a supportive & fun team… Hit apply and be immediately considered for this awesome role! Show more Show less",Platform Engineer,United Kingdom,2557295772,Methods,Mid-Senior level,Engineering and Information Technology,https://uk.linkedin.com/jobs/view/platform-engineer-at-methods-2557295772?refId=ZY9bQ7yWmcQpPum7cXPbgA%3D%3D&trackingId=J1hxU6rW%2BAM261DdevDsow%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Full-time,N/A
Platform Engineer,"Position: Platform Engineer Department: Platform & Reliability Engineering Reports to: Technology Manager Location: London or Bristol The Opportunity Just Eat is looking for an experienced Engineer to join the Platform team. The team sits within the Platform & Reliability department which exists to catalyse global platform change while driving commercial availability. The team is responsible for looking after a wide range of capabilities that underpin our global platforms. Examples include: Core AWS infrastructure, networking & accounts Self-service logging, monitoring, alerting and observability platforms Secrets and config management Compute infrastructure innovations (e.g. EC2 to Containers/Serverless) Disaster recovery As a Platform Engineer you will be involved in the implementation and continual evolution of these areas, following guidance from senior engineers within the department. In this role you will be expected to have a passion for technology and a desire to learn. You will have the opportunity to positively impact 80+ Product Development teams globally, to foster a true DevOps culture. As a Engineer in the Platform team you will need to: Be able to track the progress that you are making towards the wider goals of your team, and transparently communicate that progress to your team and Technical Lead. Coach and mentor junior team members Keep to the processes, standards and designs that you and your team have agreed. Ensure you and others continuously improve by proposing and then implementing new processes, designs and engineering practices that make your team more effective. Contribute to the definition of product features, including in workshops with other engineering teams and Product Management. Communicate the technical work of your team to other engineering teams. Take responsibility for supporting your changes all the way through to production proving that they work well – and continue to work well – in production. Take part in an on-call rota to support the teams components in production Every member of the Technology Team is responsible for: The availability, security, scalability of our platforms Delivering the technology and business roadmap Planning for the future Being available as a support line in case of an incident or even just questions or problems other engineers might have when using our products. Required skills and experience Key Skills: Cloud engineering on AWS (Other Cloud providers would be advantageous) Experience of Infrastructure Automation technologies such as Terraform or Ansible Experience of monitoring and logging tools such as Prometheus, Graphite, ELK, Grafana and supporting them in production Platform Infrastructure (DNS, DR, SSL, Load balancing, etc) Support of Linux and Linux services (HAProxy etc) Support of Windows and Windows services (IIS etc)- nice to have Support of Containerisation technologies (Kubernetes) Configuration Management tooling such as Ansible, Puppet or Chef Experience working within an Agile/Scrum environment Problem Solving and root cause analysis of issues in complex environments Why work at Just Eat? Just Eat UK is part of Just Eat Takeaway.com, a leading global online food delivery marketplace headquartered in Amsterdam and listed on the London Stock Exchange. We've built our business on having the widest choice available on our platform – connecting millions of customers with over 155,000 restaurants across 23 countries - with over 100 different cuisines from local independents to globally famous restaurants, available to order via our app and website. We provide the platform and tools to help independent restaurants move online and reach a significantly broader customer base – to generate increased orders and grow their businesses. We also provide the insights, advice, and support our growing community needs to satisfy customers and help raise standards across a vibrant takeaway sector. We’re built to deliver behind the scenes too. To make Just Eat the great company it is, it takes a great team of people. Which is why all of our colleagues are welcomed into a diverse and inclusive workplace where they feel they can belong. We're passionate about nurturing our people and offer a full programme of training and support to our employees – helping them to develop their careers in a way that suits them. No matter who you are, what you look like, who you love, where you are from, religious beliefs or takeaway preferences you could find your place at Just Eat. We’re a diverse and inclusive workplace that promotes a sense of belonging, allowing all of our people to bring their most colourful and complex selves to work every day. Just Eat is an equal opportunity employer and values a diverse and inclusive workplace. All qualified candidates will receive consideration for employment without regard to age, race, colour, religion, genetic information, sex, sexual orientation, gender identity, national origin, disability status, or any other characteristic protected by law. For more information about Equal Opportunity in the Workplace please click here. Just Eat is committed to working with and providing reasonable accommodation to job applicants with disabilities. If you are a qualified individual with a disability and need an accommodation or accessibility assistance to complete the online application, please contact us at talent@just-eat.com for assistance. Show more Show less",Platform Engineer,United Kingdom,2606122145,Just Eat Takeaway.com,Mid-Senior level,Information Technology,https://uk.linkedin.com/jobs/view/platform-engineer-at-just-eat-takeaway-com-2606122145?refId=ZY9bQ7yWmcQpPum7cXPbgA%3D%3D&trackingId=Xzu2S3UvG3Njg%2Fk2lkZU%2BQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Full-time,N/A
Platform Engineer,"Company Description We’re changing it up We’re on a mission to build the UK’s finest digital infrastructure and unleash Britain’s potential. Together, we’re achieving incredible things. We may have big ambitions, but we never lose sight of what matters. That’s why we’ve created an open, inclusive environment where people can be themselves, where wellbeing and mental health come first, where we take a flexible approach to working, and where everyone has the chance to pursue their passions, keep learning and grow their careers. We’re changing up Britain and we’re changing up the workplace with better rewards, more opportunities to grow and the chance to make a difference to communities across the UK. A rewarding career We’re passionate about our work and we’re passionate about our people too. With a salary of up to £68,000 depending on experience, when you join the CityFibre family you’ll enjoy benefits like 25 days’ holiday, a day off on your birthday, a day off to support a charity or organisation of your choice, performance-related bonus scheme, and private healthcare. How can you change it up? As our Platform Engineer you will work within the Platform Squad creating and maintaining the infrastructure used by the Software Development Department. They build tooling and self-service systems so the development squads can build and maintain their applications. You will be part of an agile squad working with a Kanban workflow. What will you bring to the role? We’re looking for someone who is AWS Certified (SysOps Administrator, Solutions Architect, DevOps Engineer or equivalent). You’ll also have; An understanding of creating CI/CD pipelines Experience with Event Driven Architecture Experience with Ansible Knowledge of creating infrastructure as code Knowledge of agile working practices An understanding of networking Our unique culture We are proud to be an equal opportunity employer; we celebrate diversity, we believe everyone has a voice and we’re committed to creating an inclusive environment for all. Even though we come from different backgrounds and do different jobs, we’re united by The CityFibre Way - our unique code of behaviours that inspires how we think, act and work. We back each other, think smart and act fast, and we’re passionate about giving it our best to build a legacy together. Ready to start changing it up? Join the CityFibre family today. Additional Information CityFibre is committed to providing equal employment opportunities to individuals from all backgrounds, including ethnicity, gender, sexual orientation, gender identity, religion, age, family status and disability. We recognise that everyone is an individual with a wide range of experiences and perspectives and believe this diversity of thought is what makes CityFibre special. Videos To Watch Show more Show less",Platform Engineer,United Kingdom,2577534923,CityFibre,Entry level,Engineering and Information Technology,https://uk.linkedin.com/jobs/view/platform-engineer-at-cityfibre-2577534923?refId=ZY9bQ7yWmcQpPum7cXPbgA%3D%3D&trackingId=p%2F%2FGSWjgPrlU72y5689kCQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Full-time,N/A
Platform Support Engineer,"Concentra Analytics is a global thought leader in human capital management and supply chain management software to the Fortune 1000. Its award-winning software includes OrgVue, a solution for HR analytics, organization design, and workforce planning to visualize and model organizations across the entire business. Role Overview Currently we are looking for a Platform Support Engineer to join a SaaS company based in Central London, although the role can be remote. The Platform Support Engineer will be an integral member of the Support team. You will provide support to customers (mainly via email) and escalate to Engineering teams where necessary. This is an excellent opportunity to acquire new skills and learning about current and emerging technologies. Responsibilities: Troubleshoot and research customer issues. These can range from identifying a complex configuration issue to debugging a platform defect or performance tuning Reproduce customer cases, and perform detailed troubleshooting and analysis Become a platform expert for customers and stay up-to-date on new features. Engage early on platform development to enhance stability, and customer experience Identify and write internal and external technical articles including knowledge-base entries troubleshooting steps, workarounds or best practices Collaborates with teams to drive improvements to release process What We're Looking For: Experience as a Level/Tier 3 Support Engineer Prior hands-on work with public cloud environments Technical understanding and troubleshooting experience in web products and environments Ability to work with customers and help diagnose issues, although most of the interaction will be with internal Engineering teams Ideal qualification: Degree in Computer Science, or equivalent Software Engineering experience Knowledge of Databases Show more Show less",Platform Engineer,United Kingdom,2603164611,Concentra Analytics,Mid-Senior level,Engineering and Information Technology,https://uk.linkedin.com/jobs/view/platform-support-engineer-at-concentra-analytics-2603164611?refId=ZY9bQ7yWmcQpPum7cXPbgA%3D%3D&trackingId=iBnymQKKkfi15aJLYF1smA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Full-time,N/A
Graduate Platform Engineer 2021,"Location : Telford Start Date: November 2021 Salary: £30,000 base plus flexible benefits Who You’ll Be Working With Our industry-leading developing and engineering community are at the top of their game. Responsible for some of the world’s most imaginative websites, applications and technical advancements, they refuse to be constrained by the limits of today’s technology – instead developing for tomorrow’s needs. From the most senior field experts to those just starting out in their careers, this is a team that works together to blow the competition out of the water. The Focus of Your Role From your first meeting with a client through to the finished product, you will be responsible for designing, developing and maintaining cutting-edge applications and the environments they will function in. With clients ranging from the Royal Mail to the Home Office, your work will make a massive impact on the British public, and further afield for our international clientele. What You’ll Do You’ll develop and maintain bespoke solutions for a varied client base, which includes both the public and private sectors – drawing on different languages, methods and approaches. You’ll support live systems and applications, implementing bug fixes and exploring improvements through code changes. You’ll take responsibility for components of a much larger system, writing code to complement that which is being developed by colleagues. You’ll be working within a DevOps team, which work with a set of practices that break down the traditional barriers between software development and IT operations. DevOps Engineers work as part of cross-functional teams, with an aim to reduce the time it takes for new software to be delivered into production. What You’ll Bring A bachelor’s degree, relevant and practical IT experience, as well as a passion for software. A basic knowledge of the tools and languages used to write code would be beneficial. Most importantly, we want people with an appetite for learning new technologies. DevOps is a constantly evolving field! If you’ve got a passion for IT and can demonstrate a competency and experience in computing Outstanding communication skills – our clients need to feel confident that you understand their requirements. The ability to convey complex concepts in jargon-free language to a non-technical audience. Note: You will have lived in the UK for the last five years with no more than 6 months out of the country (in order to meet security clearance requirements). You will be required to work away from home during the week after the initial training period. What We’ll Offer You An industry-leading career. Access to innovative projects – and entrepreneurial colleagues. A team atmosphere where horizon-expanding challenges are matched with limitless professional opportunities. With DevOps Engineers in high demand, we’ve set up the Platform Engineer Academy – an initiative to develop talent to become highly skilled Platform Engineers. The initial 14-week training will be a varied schedule of online training, along with hands-on exercises led by experienced practitioners. On successful completion of the initial training, you’ll be placed on a client DevOps engagement at one of several UK locations. During and after the Academy, you’ll be given the appropriate support to learn from our experienced engineers. Capgemini believes this gives the best introduction to a role in DevOps and allows you to develop your skills in a real environment. What you’ll learn Linux fundamentals Cloud services (including AWS and Azure) Agile working Infrastructure as Code Continuous integration and continuous delivery, and the tools we use. Containerisation, including Docker, and orchestration with Kubernetes. Monitoring and logging At Capgemini, we don’t just have a passion for the potential within technology, we live and breathe it. It’s a passion that our people share too. So if you want to work in an organisation that celebrates ambition and creativity, and rewards hard work with a flexible benefits package that can be tailored to your life-stage, then you’ll be a natural fit here. Why we’re different At Capgemini, we know that one solution doesn’t fit all. We appreciate that outstanding technical solutions become all the more outstanding when ingenuity is applied to a thought-process. And we know that the secret to any successful organisation lies not just in the quality of work that it is producing, but in the people who are behind this work. It is precisely this that makes Capgemini such a force to be reckoned with. Committed to applying ground-breaking technical approaches to organisations across a myriad of industries around the globe, we help our clients become more agile, competitive and successful. Working collaboratively, our multidisciplinary people work in partnership with one another to help their clients achieve their goals. And with over 200,000 people and nearly 130 nationalities under our wing, plus an inclusive and diverse community where everyone is welcome, we nurture a team ethos that ensures we are truly representative of the colourful clients that we support. This inclusive spirit extends to ensuring every member of our organisation is finding the ideal work/life balance. Whether that means part-time work, flexible hours or a condensed week, we will find the right working approach if you are the right person for the job. Empowering our people to discover what they are truly capable of, at Capgemini we will give you all the support you need to shape the future and bring your ideas to life. Find out more and apply Additional Information Some of our roles may require security clearance. To meet security clearance requirements, you will need to have lived in the UK for the past five years. If you have spent more than six months outside the UK in that period, we will unfortunately not be able to consider you for the role. At Capgemini, academics form part of our overall hiring decision but we don’t screen out purely on the basis of academic performance. We will assess your suitability for a role using a number of tools including strengths and critical reasoning assessments, video assessment and assessment centres. Show more Show less",Platform Engineer,United Kingdom,2606074825,Capgemini,Entry level,Engineering and Information Technology,https://uk.linkedin.com/jobs/view/graduate-platform-engineer-2021-at-capgemini-2606074825?refId=ZY9bQ7yWmcQpPum7cXPbgA%3D%3D&trackingId=nnhY417J2hWTS%2F12hk%2BM5Q%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Full-time,https://www.linkedin.com/jobs/view/externalApply/2606074825?url=https%3A%2F%2Fwww%2Ecapgemini%2Ecom%2Fjobs%2Fgraduate-platform-engineer-2021%2F&urlHash=NxaB&refId=ZY9bQ7yWmcQpPum7cXPbgA%3D%3D&trackingId=nnhY417J2hWTS%2F12hk%2BM5Q%3D%3D&trk=public_jobs_apply-link-offsite
Platform Operations Engineer,"GitHub is seeking systems and software engineering professionals to join a new Operations and Reliability team. This team will be working to support, automate and improve the infrastructure that underpins Github’s new managed Github SAAS offering. This role is an opportunity to learn and grow on multiple fronts. As an operations engineer you’ll be responsible for the day to day monitoring, administration and operations necessary to run Github in a cloud environment at scale. As a reliability engineer you’ll work to automate, iterate and improve the systems that make this SAAS offering work. Most importantly you’ll help grow our culture of inclusion, collaboration and togetherness. We are a remote team and work with teammates across the world and in many different time zones. Mental health first is one of our team mantras. In a Covid world we want to build as healthy and sustainable a team as we can through empathy, flexible schedules and empowerment. Within those confines we are passionate about making a team that is scalable through shared knowledge and well defined best practices. Our platform is helping deliver a cloud native experience to Github’s new SAAS offering. Docker, Kubernetes, infrastructure as code, managed cloud services and distributed security is where most of our time will be spent. Experience operating managed public services and knowing how to think about monitoring, automation, day to day administration and incident management will be key. Familiarity with paired programming, TDD, kanban and a desire to ship many times a day will fit well with our way of being. This role at GitHub is an opportunity to blend your system design, empathy, and software engineering skills on an ever-changing set of novel reliability and operations challenges. Join us on this journey and have a meaningful impact on how the world builds software. Responsibilities: Ensure smooth day to day operations of GitHub’s SAAS offering. Automate away as much of the day to day as possible - “Run By Robots” is the goal. Drive organization wide best practices for monitoring, alerting and incident management. Identify, respond to and collaborate with support and product teams to resolve production and customer issues and incidents. Help drive new features, abilities and code changes into the core product with an operations focused point of view. Minimum Qualifications: Experience with at least one cloud platform, such as Azure Comfort with the GNU/Linux operating system, particularly Ubuntu Familiarity with Docker and Kubernetes Experience with scripting and automation, particularly bash or PowerShell Experience building infrastructure and automation Experience with monitoring, alerting and operations Experience with distributed systems with high availability requirements Experience with incident response Preferred Qualifications: Experience with Azure (AAD, Security, ARM, AKS) Experience with Kubernetes Comfort with at least one modern programming language, such as Golang Experience operating highly available systems at scale Experience building and deploying software in a SAAS environment Experience as incident commander It’s not expected that you have expertise in all of these areas - we’re looking for someone who is particularly strong in a few areas and has some interest and capabilities in others. Who We Are: GitHub is the developer company. We make it easier for developers to be developers: to work together, to solve challenging problems, and to create the world’s most important technologies. We foster a collaborative community that can come together—as individuals and in teams—to create the future of software and make a difference in the world. Leadership Principles: Customer Obsessed - Trust by Default - Ship to Learn - Own the Outcome - Growth Mindset - Global Product, Global Team - Anything is Possible - Practice Kindness Why You Should Join: At GitHub, we constantly strive to create an environment that allows our employees (Hubbers) to do the best work of their lives. We've designed one of the coolest workspaces in San Francisco (HQ), where many Hubbers work, snack, and create daily. The rest of our Hubbers work remotely around the globe. Check out an updated list of where we can hire here: https://github.com/about/careers/remote We are also committed to keeping Hubbers healthy, motivated, focused and creative. We've designed our top-notch benefits program with these goals in mind. In a nutshell, we've built a place where we truly love working, we think you will too. GitHub is made up of people from a wide variety of backgrounds and lifestyles. We embrace diversity and invite applications from people of all walks of life. We don't discriminate against employees or applicants based on gender identity or expression, sexual orientation, race, religion, age, national origin, citizenship, disability, pregnancy status, veteran status, or any other differences. Also, if you have a disability, please let us know if there's any way we can make the interview process better for you; we're happy to accommodate! Please note that benefits vary by country. If you have any questions, please don't hesitate to ask your Talent Partner. Show more Show less",Platform Engineer,United Kingdom,2598040108,GitHub,Associate,Engineering and Information Technology,https://uk.linkedin.com/jobs/view/platform-operations-engineer-at-github-2598040108?refId=ZY9bQ7yWmcQpPum7cXPbgA%3D%3D&trackingId=qFpnMS3yrVv0%2FsVYaln3iw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Full-time,N/A
Platform Engineer,"Platform Engineer / Manchester Are you a natural problem solver? Looking for an environment where you will learn new skills, work on important projects and get to dabble with the latest tech? There are lots of software consultancies in Manchester looking for Cloud, DevOps or Platform Engineers with AWS/Azure/GCP experience. Not all of them are like this one. They have a roster of clients in Greater Manchester includes household name brands, government departments, and some of the most exciting tech-led organisations in the UK. Their platform engineering discipline is home to some of the region's foremost public cloud experts. They push their clients to embrace best practice and current technologies. Engineers are encouraged and become as well rounded as possible. This is an opportunity to push yourself, sharpen your skills and learn new ones. Where you'll have the option to make a key contribution to a massive multi-year project, or skip to a new one if it catches your eye. And you'll be working alongside some of the UK's most accomplished cloud specialists, software developers and technology leads. Enough about them, what about you? You should have experience with a broad selection of the following concepts/technologies: Considerable commercial experience with either AWS, Azure or GCP Provisioning infrastructure as code - Terraform or CloudFormation CI/CD & build tools Source control Containerisation Applicants from software engineering backgrounds are always welcome. Salary is flexible and reflective of your background, skills & potential. As with most modern businesses you'll also enjoy flexible working and a full suite of benefits. Salary in line with skills & experience. Blended approach to working on site or from home with flexibility to suit each individual. Annual bonus pot. Private health care. Lots of other benefits. What now? To learn more about this click Apply and John from Burns Sheehan will be in touch. No current CV ready? Let's talk; if the role excites you we can worry about it later. Show more Show less",Platform Engineer,United Kingdom,2601621577,Burns Sheehan,Mid-Senior level,Engineering and Information Technology,https://uk.linkedin.com/jobs/view/platform-engineer-at-burns-sheehan-2601621577?refId=ZY9bQ7yWmcQpPum7cXPbgA%3D%3D&trackingId=31sVi8ODGkN4TqWQHpdJJw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Full-time,N/A
